pdf_file,pdf_url,office1,candidate1_1,candidate1_2,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,office7,candidate7_1,candidate7_2,office8,candidate8_1,office9,candidate9_1,candidate9_2,office10,candidate10_1,candidate10_2,office11,candidate11_1,office12,candidate12_1,office13,candidate13_1
YADKIN-20201103-SAMPLE-U-B0002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/YADKIN-20201103-SAMPLE-U-B0002-GEN.pdf,NC District Court Judge District 23 Seat 4,Donna L. Shumate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHAMPTON-20201103-SAMPLE-U-B0002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/NORTHAMPTON-20201103-SAMPLE-U-B0002-GEN.pdf,NC Superior Court Judge District 6B Seat 1,Cy Grant,,NC District Court Judge District 6 Seat 1,Brenda Green Branch,,NC District Court Judge District 6 Seat 2,Teresa Raquel Robinson Freeman,,NC District Court Judge District 6 Seat 3,Vershenia Ballance Moody,,NC District Court Judge District 6 Seat 4,W. Turner Stephenson III,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0033-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0033-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0076-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0076-GEN.pdf,NC District Court Judge District 10D Seat 4,Lori G. Christian,,NC District Court Judge District 10D Seat 5,Debra Ann Smith Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0023-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0023-GEN.pdf,NC Superior Court Judge District 21B Seat 1,David L. Hall,,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0066-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0066-GEN.pdf,NC District Court Judge District 10E Seat 3,Eric Craig Chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0051-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0051-GEN.pdf,NC Superior Court Judge District 21D Seat 1,L. Todd Burke,,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,,,,,,,,,,,,
GUILFORD-20201103-SAMPLE-E-B0038-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GUILFORD-20201103-SAMPLE-E-B0038-GEN.pdf,NC Superior Court Judge District 18E,Susan Elizabeth Bray,,NC District Court Judge District 18 - Seat 9,Tabatha Holliday Brewer,,NC District Court Judge District 18 - Seat 10,Tonia A. Cutchin,,NC District Court Judge District 18 Seat 11,Bill Davis,,NC District Court Judge District 18 - Seat 12,Kelvin Smith,,NC District Court Judge District 18 - Seat 13,Brian Tomlin,NC District Court Judge District 18 - Seat 14,Teresa H. Vincent,,NC District Court Judge District 18 - Seat 3,Ashley Watlington-Simms,NC District Court Judge District 18 - Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 18 - Seat 5,Marcus Allen Shields,,NC District Court Judge District 18 - Seat 6,Michelle Fletcher,NC District Court Judge District 18 - Seat 7,Angela C. Foster,NC District Court Judge District 18 - Seat 8,Angie Fox
WAKE-20201103-SAMPLE-U-B0014-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0014-GEN.pdf,NC Superior Court Judge District 10E Seat 1,Bryan Collins,,NC District Court Judge District 10D Seat 4,Lori G. Christian,,NC District Court Judge District 10D Seat 5,Debra Ann Smith Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
VANCE-20201103-SAMPLE-U-B0008-EH1-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/VANCE-20201103-SAMPLE-U-B0008-EH1-GEN.pdf,NC District Court Judge District 9B Seat 2,Adam Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0129-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0129-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0041-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0041-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0139-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0139-GEN.pdf,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,,,,,,,,,,,,,,
GUILFORD-20201103-SAMPLE-E-B0028-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GUILFORD-20201103-SAMPLE-E-B0028-GEN.pdf,NC District Court Judge District 18 - Seat 10,Tonia A. Cutchin,,NC District Court Judge District 18 Seat 11,Bill Davis,,NC District Court Judge District 18 - Seat 12,Kelvin Smith,,NC District Court Judge District 18 - Seat 13,Brian Tomlin,,NC District Court Judge District 18 - Seat 14,Teresa H. Vincent,,NC District Court Judge District 18 - Seat 3,Ashley Watlington-Simms,NC District Court Judge District 18 - Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 18 - Seat 5,Marcus Allen Shields,NC District Court Judge District 18 - Seat 6,Michelle Fletcher,,NC District Court Judge District 18 - Seat 7,Angela C. Foster,,NC District Court Judge District 18 - Seat 8,Angie Fox,NC District Court Judge District 18 - Seat 9,Tabatha Holliday Brewer,,
WAKE-20201103-SAMPLE-U-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0004-GEN.pdf,NC District Court Judge District 10E Seat 3,Eric Craig Chasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALIFAX-20201103-SAMPLE-U-B0005-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/HALIFAX-20201103-SAMPLE-U-B0005-GEN.pdf,NC Superior Court Judge District 6A Seat 1,Alma L. Hinton,,NC District Court Judge District 6 Seat 2,Teresa Raquel Robinson Freeman,,NC District Court Judge District 6 Seat 3,Vershenia Ballance Moody,,NC District Court Judge District 6 Seat 4,W. Turner Stephenson III,,NC District Court Judge District 6 Seat 1,Brenda Green Branch,,,,,,,,,,,,,,,,,,,,
GASTON-20201103-SAMPLE-U-B0032-UNION-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GASTON-20201103-SAMPLE-U-B0032-UNION-GEN.pdf,NC District Court Judge District 27A Seat 3,Donald Rice,Richard B. Abernethy,NC District Court Judge District 27A Seat 4,John K. Greenlee,,NC District Court Judge District 27A Seat 5,Angela G. Hoyle,,NC District Court Judge District 27A Seat 6,James A. Jackson,,NC District Court Judge District 27A Seat 7,Pennie M. Thrower,,,,,,,,,,,,,,,,,,,,
PITT-20201103-SAMPLE-U-B0021-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/PITT-20201103-SAMPLE-U-B0021-GEN.pdf,NC District Court Judge District 3A Seat 3,G. Galen Braddy,,NC District Court Judge District 3A Seat 4,W. Brian DeSoto,,NC District Court Judge District 3A Seat 5,Kellie Chappell-Gonzalez,Wendy S. Hazelton,NC District Court Judge District 3A Seat 6,Mario Perez,,,,,,,,,,,,,,,,,,,,,,,
PITT-20201103-SAMPLE-U-B0031-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/PITT-20201103-SAMPLE-U-B0031-GEN.pdf,NC District Court Judge District 3A Seat 3,G. Galen Braddy,,NC District Court Judge District 3A Seat 4,W. Brian DeSoto,,NC District Court Judge District 3A Seat 5,Kellie Chappell-Gonzalez,Wendy S. Hazelton,NC District Court Judge District 3A Seat 6,Mario Perez,,,,,,,,,,,,,,,,,,,,,,,
ONSLOW-20201103-SAMPLE-V-B0023-VR15_.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/ONSLOW-20201103-SAMPLE-V-B0023-VR15_.pdf,NC District Court Judge District 4 - Seat 3,Christopher J. Welch,,NC District Court Judge District 4 - Seat 4,Michael C. Surles,,NC District Court Judge District 4 - Seat 5,Robert H. Gilmore,Carol Jones,NC District Court Judge District 4 - Seat 6,"James L. (Jim) Moore, Jr.",,NC District Court Judge District 4 - Seat 7,William Shanahan,,NC District Court Judge District 4 - Seat 8,Billy Sutton,NC District Court Judge District 4 - Seat 9,James Walter Bateman III,,,,,,,,,,,,,,,
MECKLENBURG-20201103-SAMPLE-E-B0024-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0024-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
STANLY-20201103-SAMPLE-U-B0015-BADIN-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/STANLY-20201103-SAMPLE-U-B0015-BADIN-GEN.pdf,NC Superior Court Judge District 20A Seat 2,Pat Nadolski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20201103-SAMPLE-E-B0034-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0034-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
WAKE-20201103-SAMPLE-U-B0049-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0049-GEN.pdf,NC District Court Judge District 10A Seat 2,Vartan A. (Woofer) Davidian III,,NC District Court Judge District 10A Seat 3,Dan Nagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILKES-20201103-SAMPLE-E-B0002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WILKES-20201103-SAMPLE-E-B0002-GEN.pdf,NC District Court Judge District 23 Seat 4,Donna L. Shumate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0121-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0121-GEN.pdf,NC District Court Judge District 10A Seat 2,Vartan A. (Woofer) Davidian III,,NC District Court Judge District 10A Seat 3,Dan Nagle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0059-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0059-GEN.pdf,NC Superior Court Judge District 10E Seat 1,Bryan Collins,,NC District Court Judge District 10C Seat 1,Mark L. Stevens,,NC District Court Judge District 10C Seat 2,Christine M. Walczyk,,NC District Court Judge District 10C Seat 3,Anna Elena Worley,,,,,,,,,,,,,,,,,,,,,,,
CHATHAM-20201103-SAMPLE-V-B0003-9_BONLEE.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/CHATHAM-20201103-SAMPLE-V-B0003-9_BONLEE.pdf,NC District Court Judge District 15B - Seat 2,Samantha H. Cabe,,NC District Court Judge District 15B - Seat 3,Hathaway Pendergrass,,NC District Court Judge District 15B - Seat 4,Sherri Murrell,,NC District Court Judge District 15B - Seat 5,Beverly A. Scarlett,,,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20201103-SAMPLE-E-B0079-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0079-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
MECKLENBURG-20201103-SAMPLE-E-B0069-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/MECKLENBURG-20201103-SAMPLE-E-B0069-GEN.pdf,NC District Court Judge District 26 Seat 1,Kimberly Y. Best,Pat Finn,NC District Court Judge District 26 Seat 2,Aretha Blake,,NC District Court Judge District 26 Seat 3,Jena Culler,,NC District Court Judge District 26 Seat 4,"Donald Cureton, Jr.",,NC District Court Judge District 26 Seat 5,Faith Fickling-Alvarez,,NC District Court Judge District 26 Seat 6,Ty Hands,NC District Court Judge District 26 Seat 7,Gary L. Henderson,,NC District Court Judge District 26 Seat 8,Christy T. Mann,NC District Court Judge District 26 Seat 9,Sunny Panyanouvong-Rubeck,Rex Marvel,NC District Court Judge District 26 Seat 10,C. Renee Little,,NC District Court Judge District 26 Seat 11,Elizabeth Thornton Trosch,NC District Court Judge District 26 Seat 12,Roy H. Wiggins,,
CHOWAN-20201103-SAMPLE-U-B0006-YEOPIM-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/CHOWAN-20201103-SAMPLE-U-B0006-YEOPIM-GEN.pdf,NC District Court Judge District 1 Seat 4,Edgar L. Barnes,,NC District Court Judge District 1 Seat 5,Amber Davis Malarney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTON-20201103-SAMPLE-U-B0009-GRIER-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GASTON-20201103-SAMPLE-U-B0009-GRIER-GEN.pdf,NC District Court Judge District 27A Seat 3,Donald Rice,Richard B. Abernethy,NC District Court Judge District 27A Seat 4,John K. Greenlee,,NC District Court Judge District 27A Seat 5,Angela G. Hoyle,,NC District Court Judge District 27A Seat 6,James A. Jackson,,NC District Court Judge District 27A Seat 7,Pennie M. Thrower,,,,,,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0092-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0092-GEN.pdf,NC District Court Judge District 10F Seat 2,Beth Tanner,Tim Gunther,NC District Court Judge District 10F Seat 3,Jim Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20201103-SAMPLE-U-B0082-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAKE-20201103-SAMPLE-U-B0082-GEN.pdf,NC District Court Judge District 10D Seat 4,Lori G. Christian,,NC District Court Judge District 10D Seat 5,Debra Ann Smith Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADEN-20201103-SAMPLE-U-B0003-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/BLADEN-20201103-SAMPLE-U-B0003-GEN.pdf,NC District Court Judge District 13 Seat 3,Pauline Hankins,,NC District Court Judge District 13 Seat 4,C. Ashley Gore,,NC District Court Judge District 13 Seat 5,Scott L. Ussery,,NC District Court Judge District 13 Seat 6,J. Calvin Chandler,,,,,,,,,,,,,,,,,,,,,,,
VANCE-20201103-SAMPLE-U-B0023-NH1-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/VANCE-20201103-SAMPLE-U-B0023-NH1-GEN.pdf,NC District Court Judge District 9B Seat 2,Adam Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DURHAM-20201103-SAMPLE-U-B0003-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/DURHAM-20201103-SAMPLE-U-B0003-GEN.pdf,NC District Court Judge District 14 Seat 7,Shamieka LaCher Rhinehart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20201103-SAMPLE-E-B0007-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GUILFORD-20201103-SAMPLE-E-B0007-GEN.pdf,NC District Court Judge District 18 - Seat 10,Tonia A. Cutchin,,NC District Court Judge District 18 Seat 11,Bill Davis,,NC District Court Judge District 18 - Seat 12,Kelvin Smith,,NC District Court Judge District 18 - Seat 13,Brian Tomlin,,NC District Court Judge District 18 - Seat 14,Teresa H. Vincent,,NC District Court Judge District 18 - Seat 3,Ashley Watlington-Simms,NC District Court Judge District 18 - Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 18 - Seat 5,Marcus Allen Shields,NC District Court Judge District 18 - Seat 6,Michelle Fletcher,,NC District Court Judge District 18 - Seat 7,Angela C. Foster,,NC District Court Judge District 18 - Seat 8,Angie Fox,NC District Court Judge District 18 - Seat 9,Tabatha Holliday Brewer,,
FORSYTH-20201103-SAMPLE-E-B0116-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0116-GEN.pdf,NC Superior Court Judge District 21B Seat 1,David L. Hall,,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,,,,,,,,,,,,
ONSLOW-20201103-SAMPLE-V-B0017-NM13_.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/ONSLOW-20201103-SAMPLE-V-B0017-NM13_.pdf,NC District Court Judge District 4 - Seat 3,Christopher J. Welch,,NC District Court Judge District 4 - Seat 4,Michael C. Surles,,NC District Court Judge District 4 - Seat 5,Robert H. Gilmore,Carol Jones,NC District Court Judge District 4 - Seat 6,"James L. (Jim) Moore, Jr.",,NC District Court Judge District 4 - Seat 7,William Shanahan,,NC District Court Judge District 4 - Seat 8,Billy Sutton,NC District Court Judge District 4 - Seat 9,James Walter Bateman III,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0106-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0106-GEN.pdf,NC Superior Court Judge District 21B Seat 1,David L. Hall,,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,,,,,,,,,,,,
GUILFORD-20201103-SAMPLE-E-B0017-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GUILFORD-20201103-SAMPLE-E-B0017-GEN.pdf,NC District Court Judge District 18 - Seat 10,Tonia A. Cutchin,,NC District Court Judge District 18 Seat 11,Bill Davis,,NC District Court Judge District 18 - Seat 12,Kelvin Smith,,NC District Court Judge District 18 - Seat 13,Brian Tomlin,,NC District Court Judge District 18 - Seat 14,Teresa H. Vincent,,NC District Court Judge District 18 - Seat 3,Ashley Watlington-Simms,NC District Court Judge District 18 - Seat 4,Caroline Tomlinson-Pemberton,,NC District Court Judge District 18 - Seat 5,Marcus Allen Shields,NC District Court Judge District 18 - Seat 6,Michelle Fletcher,,NC District Court Judge District 18 - Seat 7,Angela C. Foster,,NC District Court Judge District 18 - Seat 8,Angie Fox,NC District Court Judge District 18 - Seat 9,Tabatha Holliday Brewer,,
SURRY-20201103-SAMPLE-E-B0008-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/SURRY-20201103-SAMPLE-E-B0008-GEN.pdf,NC District Court Judge District 17B Seat 4,Bill Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAYNE-20201103-SAMPLE-E-B0008-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/WAYNE-20201103-SAMPLE-E-B0008-GEN.pdf,NC District Court Judge District 8 Seat 2,Jon Sargeant,,NC District Court Judge District 8 Seat 3,Curtis Stackhouse,,NC District Court Judge District 8 Seat 4,Charles P. Gaylor III,,NC District Court Judge District 8 Seat 5,Ericka Y. James,,NC District Court Judge District 8 Seat 6,Greg Rouse,Annette W. Turik,,,,,,,,,,,,,,,,,,,
VANCE-20201103-SAMPLE-U-B0020-NH1-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/VANCE-20201103-SAMPLE-U-B0020-NH1-GEN.pdf,NC District Court Judge District 9B Seat 2,Adam Keith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20201103-SAMPLE-E-B0081-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/FORSYTH-20201103-SAMPLE-E-B0081-GEN.pdf,NC Superior Court Judge District 21D Seat 1,L. Todd Burke,,NC District Court Judge District 21 Seat 10,Victoria L. (Tori) Roemer,,NC District Court Judge District 21 Seat 11,David Sipprell,,NC District Court Judge District 21 Seat 5,Camille Banks Prince,,NC District Court Judge District 21 Seat 6,Lawrence J. (Larry) Fine,,NC District Court Judge District 21 Seat 7,Carrie Vickery,NC District Court Judge District 21 Seat 8,Mike Silver,Whit Davis,NC District Court Judge District 21 Seat 9,Gordon A. Miller,,,,,,,,,,,,
HAYWOOD-20201103-SAMPLE-E-B0005-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/HAYWOOD-20201103-SAMPLE-E-B0005-GEN.pdf,NC District Court Judge District 30 Seat 4,Monica H. Leslie,,NC District Court Judge District 30 Seat 5,Tessa Shelton Sellers,,NC District Court Judge District 30 Seat 6,Kaleb Wingate,Justin Greene,,,,,,,,,,,,,,,,,,,,,,,,,
GATES-20201103-SAMPLE-U-B0006-5-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2020-11-03/GATES-20201103-SAMPLE-U-B0006-5-GEN.pdf,NC District Court Judge District 1 Seat 4,Edgar L. Barnes,,NC District Court Judge District 1 Seat 5,Amber Davis Malarney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
