pdf_file,pdf_url,office1,candidate1_1,candidate1_2,candidate1_3,office2,candidate2_1,candidate2_2,office3,candidate3_1,candidate3_2,office4,candidate4_1,candidate4_2,office5,candidate5_1,candidate5_2,office6,candidate6_1,office7,candidate7_1,candidate7_2,office8,candidate8_1,office9,candidate9_1,candidate9_2,office10,candidate10_1,office11,candidate11_1
GUILFORD-20221108-SAMPLE-E-B0027-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/GUILFORD-20221108-SAMPLE-E-B0027-GEN.pdf,NC District Court Judge District 18 - Seat 1,Marc Ross Tyrey,,,NC District Court Judge District 18 - Seat 2,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,,,,
GUILFORD-20221108-SAMPLE-E-B0037-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/GUILFORD-20221108-SAMPLE-E-B0037-GEN.pdf,NC Superior Court Judge District 18C - Seat 1,Stuart Albright,,,NC District Court Judge District 18 - Seat 1,Marc Ross Tyrey,,NC District Court Judge District 18 - Seat 2,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0020-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0020-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
MECKLENBURG-20221108-SAMPLE-E-B0082-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0082-GEN.pdf,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,
MECKLENBURG-20221108-SAMPLE-E-B0092-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0092-GEN.pdf,NC Superior Court Judge District 26G - Seat 1,Carla N. Archie,,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia
CUMBERLAND-20221108-SAMPLE-E-B0089-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0089-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0099-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0099-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
DAVIDSON-20221108-SAMPLE-E-B0005-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/DAVIDSON-20221108-SAMPLE-E-B0005-GEN.pdf,NC Superior Court Judge District 22B - Seat 1,Robert A. Broadie,- VOTE BOTH SIDES -,,NC District Court Judge District 22B - Seat 1,Mary F. Covington,,NC District Court Judge District 22B - Seat 2,Jon Myers,,NC District Court Judge District 22B - Seat 3,Carlton Terry,,NC District Court Judge District 22B - Seat 4,David S. Doherty,Rosalind Baker,NC District Court Judge District 22B - Seat 5,Jon Welborn,NC District Court Judge District 22B - Seat 6,Carlos E. Jane',,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0018-051-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0018-051-GEN.pdf,NC Superior Court Judge District 21A - Seat 2,Aaron J. Berlin,DISTRICT OFFICES,,NC Superior Court Judge District 21A - Seat 1,Richard S. Gottlieb,- VOTE BOTH SIDES -,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,,NC District Court Judge District 21 - Seat 2,Fred Adams,,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,NC District Court Judge District 21 - Seat 4,George Cleland,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,,,,,,,,,
ALAMANCE-20221108-SAMPLE-E-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/ALAMANCE-20221108-SAMPLE-E-B0001-GEN.pdf,NC District Court Judge District 15A - Seat 1,Brad Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0020-053-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0020-053-GEN.pdf,NC Superior Court Judge District 21A - Seat 2,Aaron J. Berlin,DISTRICT OFFICES,,NC Superior Court Judge District 21A - Seat 1,Richard S. Gottlieb,- VOTE BOTH SIDES -,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,,NC District Court Judge District 21 - Seat 2,Fred Adams,,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,NC District Court Judge District 21 - Seat 4,George Cleland,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0066-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0066-GEN.pdf,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0125-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0125-GEN.pdf,NC District Court Judge District 10E - Seat 1,Sam Hamadani,,,NC District Court Judge District 10E - Seat 2,Louis Meyer,,,,,,,,,,,,,,,,,,,,,,,,
BURKE-20221108-SAMPLE-E-B0029-SALEM-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/BURKE-20221108-SAMPLE-E-B0029-SALEM-GEN.pdf,NC Superior Court Judge District 25A - Seat 2,Daniel (Dan) Kuehnert,- VOTE BOTH SIDES -,,NC District Court Judge District 25 - Seat 1,David W. Aycock,,NC District Court Judge District 25 - Seat 2,Wes W. Barkley,,NC District Court Judge District 25 - Seat 3,Sherri Wilson Elliott,,NC District Court Judge District 25 - Seat 4,"Robert A. Mullinax, Jr.",,NC District Court Judge District 25 - Seat 5,Amy Sigmon Walker,NC District Court Judge District 25 - Seat 6,Clifton H. Smith,,NC District Court Judge District 25 - Seat 7,Mark L. Killian,NC District Court Judge District 25 - Seat 8 Unexpired term ending 2025,Scott D. Conrad,Steve B. Potter,,,,
CUMBERLAND-20221108-SAMPLE-E-B0076-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0076-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0052-134-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0052-134-GEN.pdf,NC Superior Court Judge District 21A - Seat 2,Aaron J. Berlin,DISTRICT OFFICES,,NC Superior Court Judge District 21A - Seat 1,Richard S. Gottlieb,- VOTE BOTH SIDES -,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,,NC District Court Judge District 21 - Seat 2,Fred Adams,,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,NC District Court Judge District 21 - Seat 4,George Cleland,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,,,,,,,,,
VANCE-20221108-SAMPLE-E-B0048-SH2_07-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/VANCE-20221108-SAMPLE-E-B0048-SH2_07-GEN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0113-909-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0113-909-GEN.pdf,NC District Court Judge District 21 - Seat 2,Fred Adams,,,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,NC District Court Judge District 21 - Seat 4,George Cleland,,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,- VOTE BOTH SIDES -,,,,,,,,,,,,,,
ROWAN-20221108-SAMPLE-E-B0025-MT_ULLA-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/ROWAN-20221108-SAMPLE-E-B0025-MT_ULLA-GEN.pdf,NC Superior Court Judge District 19C - Seat 1,Michael Adkins,- VOTE BOTH SIDES -,,NC District Court Judge District 19C - Seat 1,Chris Sease,,NC District Court Judge District 19C - Seat 2,Beth Dixon,,NC District Court Judge District 19C - Seat 3,Cynthia Dry,,NC District Court Judge District 19C - Seat 4,James Randolph,,,,,,,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0033-074-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0033-074-GEN.pdf,NC Superior Court Judge District 21A - Seat 2,Aaron J. Berlin,DISTRICT OFFICES,,NC Superior Court Judge District 21A - Seat 1,Richard S. Gottlieb,- VOTE BOTH SIDES -,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,,NC District Court Judge District 21 - Seat 2,Fred Adams,,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,NC District Court Judge District 21 - Seat 4,George Cleland,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0086-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0086-GEN.pdf,NC District Court Judge District 10B - Seat 1,David K. Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0096-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0096-GEN.pdf,NC District Court Judge District 10A - Seat 1,Rashad Hauter,,,NC District Court Judge District 10A - Seat 3 Unexpired term ending 2025,Cynthia Baddour Kenney,,,,,,,,,,,,,,,,,,,,,,,,
ONSLOW-20221108-SAMPLE-V-B0017-NM13_-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/ONSLOW-20221108-SAMPLE-V-B0017-NM13_-GEN.pdf,NC Superior Court Judge District 4 -Seat 2,Bob Roupe,Republican Party,,NC District Court Judge District 4 -Seat 1,Mario White,Democratic Party,NC District Court Judge District 4 -Seat 2,Morgan H. Swinson,,,,,,,,,,,,,,,,,,,,,
FORSYTH-20221108-SAMPLE-E-B0075-504-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/FORSYTH-20221108-SAMPLE-E-B0075-504-GEN.pdf,NC District Court Judge District 21 - Seat 3,Theodore (Ted) Kazakos,,,NC District Court Judge District 21 - Seat 4,George Cleland,,NC District Court Judge District 21 - Seat 9 Unexpired term ending 2025,Kristin Kelly Broyles,,NC District Court Judge District 21 - Seat 1,Valene K. McMasters,,NC District Court Judge District 21 - Seat 2,Fred Adams,- VOTE BOTH SIDES -,,,,,,,,,,,,,,
VANCE-20221108-SAMPLE-E-B0020-NH_01-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/VANCE-20221108-SAMPLE-E-B0020-NH_01-GEN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAIN-20221108-SAMPLE-U-B0005-WHCH-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/SWAIN-20221108-SAMPLE-U-B0005-WHCH-GEN.pdf,NC Superior Court Judge District 30A - Seat 1,William H. (Bill) Coward,,,NC District Court Judge District 30 - Seat 1,Donna Forga,,NC District Court Judge District 30 - Seat 2,Kristina Lynn Earwood,,NC District Court Judge District 30 - Seat 3,Roy Wijewickrama,,,,,,,,,,,,,,,,,,
WAYNE-20221108-SAMPLE-E-B0052-26_07-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0052-26_07-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
DURHAM-20221108-SAMPLE-U-B0007-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/DURHAM-20221108-SAMPLE-U-B0007-GEN.pdf,NC Superior Court Judge District 14B - Seat 1,Brian C. Wilks,,,NC District Court Judge District 14 - Seat 4,Dorothy Hairston Mitchell,,NC District Court Judge District 14 - Seat 5,Clayton Jones,,NC District Court Judge District 14 - Seat 6,Amanda L. Maris,,NC District Court Judge District 14 - Seat 1,Dave Hall,,NC District Court Judge District 14 - Seat 2,Doretta L. Walker,NC District Court Judge District 14 - Seat 3,Kevin E. Jones,,,,,,,,,,
GUILFORD-20221108-SAMPLE-E-B0013-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/GUILFORD-20221108-SAMPLE-E-B0013-GEN.pdf,NC District Court Judge District 18 - Seat 1,Marc Ross Tyrey,,,NC District Court Judge District 18 - Seat 2,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0004-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0004-GEN.pdf,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,,,,,,,,,
RICHMOND-20221108-SAMPLE-E-B0002-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/RICHMOND-20221108-SAMPLE-E-B0002-GEN.pdf,NC District Court Judge District 16A - Seat 3,Chevonne Wallace,,,NC District Court Judge District 16A - Seat 1,Chris Rhue,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,,,,
WAYNE-20221108-SAMPLE-E-B0005-03_01-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAYNE-20221108-SAMPLE-E-B0005-03_01-GEN.pdf,NC District Court Judge District 8 - Seat 4,Chris Rogerson,,,NC District Court Judge District 8 - Seat 5,Justin Lee Minshew,,NC District Court Judge District 8 - Seat 1,Beth Heath,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0014-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0014-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
GUILFORD-20221108-SAMPLE-E-B0003-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/GUILFORD-20221108-SAMPLE-E-B0003-GEN.pdf,NC Superior Court Judge District 18C - Seat 1,Stuart Albright,,,NC District Court Judge District 18 - Seat 1,Marc Ross Tyrey,,NC District Court Judge District 18 - Seat 2,Larry L. Archie,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20221108-SAMPLE-E-B0052-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0052-GEN.pdf,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,
MECKLENBURG-20221108-SAMPLE-E-B0042-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0042-GEN.pdf,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,
NASH-20221108-SAMPLE-E-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/NASH-20221108-SAMPLE-E-B0001-GEN.pdf,NC District Court Judge District 7 - Seat 1,Pell Cooper,,,NC District Court Judge District 7 - Seat 2,Wayne S. Boyette,,,,,,,,,,,,,,,,,,,,,,,,
NASH-20221108-SAMPLE-E-B0011-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/NASH-20221108-SAMPLE-E-B0011-GEN.pdf,NC District Court Judge District 7 - Seat 1,Pell Cooper,,,NC District Court Judge District 7 - Seat 2,Wayne S. Boyette,,,,,,,,,,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0059-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0059-GEN.pdf,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,,,,,,,,,
HENDERSON-20221108-SAMPLE-E-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/HENDERSON-20221108-SAMPLE-E-B0001-GEN.pdf,NC District Court Judge District 29B - Seat 5,Abe Hudson,- VOTE BOTH SIDES -,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAMLICO-20221108-SAMPLE-U-B0012-MESIC-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/PAMLICO-20221108-SAMPLE-U-B0012-MESIC-GEN.pdf,NC Superior Court Judge District 3B - Seat 1,Bob Cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANSON-20221108-SAMPLE-U-B0015-POLKTON-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/ANSON-20221108-SAMPLE-U-B0015-POLKTON-GEN.pdf,NC District Court Judge District 16A - Seat 3,Chevonne Wallace,,,NC District Court Judge District 16A - Seat 1,Chris Rhue,,,,,,,,,,,,,,,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0062-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0062-GEN.pdf,NC District Court Judge District 10D - Seat 1,Margaret Eagles,,,NC District Court Judge District 10D - Seat 2,J. Brian Ratledge,,NC District Court Judge District 10D - Seat 3,Ned W. Mangum,,NC District Court Judge District 10D - Seat 4 Unexpired term ending 2025,Rhonda Graham Young,,,,,,,,,,,,,,,,,,
WAKE-20221108-SAMPLE-U-B0072-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/WAKE-20221108-SAMPLE-U-B0072-GEN.pdf,NC Superior Court Judge District 10A - Seat 1,Paul C. Ridgeway,,,NC District Court Judge District 10D - Seat 4 Unexpired term ending 2025,Rhonda Graham Young,,NC District Court Judge District 10D - Seat 1,Margaret Eagles,,NC District Court Judge District 10D - Seat 2,J. Brian Ratledge,,NC District Court Judge District 10D - Seat 3,Ned W. Mangum,,,,,,,,,,,,,,,
CUMBERLAND-20221108-SAMPLE-E-B0049-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/CUMBERLAND-20221108-SAMPLE-E-B0049-GEN.pdf,NC Superior Court Judge District 12C - Seat 2,George R. (Robby) Hicks,Mark Sternlicht,,NC District Court Judge District 12 - Seat 6,Rosalyn Hood,Jonathan C. Strange,NC District Court Judge District 12 - Seat 7,Caitlin Evans,,NC District Court Judge District 12 - Seat 1,Toni S. King,,NC District Court Judge District 12 - Seat 2,Frances McDuffie,,NC District Court Judge District 12 - Seat 3,David H. Hasty,NC District Court Judge District 12 - Seat 4,Stephen Craig Stokes,,NC District Court Judge District 12 - Seat 5,Cheri Siler-Mack,,,,,,,
HALIFAX-20221108-SAMPLE-U-B0001-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/HALIFAX-20221108-SAMPLE-U-B0001-GEN.pdf,NC Superior Court Judge District 6A - Seat 1,Brenda Green Branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECKLENBURG-20221108-SAMPLE-E-B0089-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/MECKLENBURG-20221108-SAMPLE-E-B0089-GEN.pdf,NC District Court Judge District 26 - Seat 19,Samantha C. Mobley,,,NC District Court Judge District 26 - Seat 20,Karen D. McCallum,,NC District Court Judge District 26 - Seat 21,Rhonda L. Patterson,,NC District Court Judge District 26 - Seat 1 Unexpired term ending 2025,Shante' Burke-Hayer,,NC District Court Judge District 26 - Seat 13,Roderick G. Davis,,NC District Court Judge District 26 - Seat 14,Alyssa M. Levine,NC District Court Judge District 26 - Seat 15,Jennifer Fleet,,NC District Court Judge District 26 - Seat 16,Matt Newton,NC District Court Judge District 26 - Seat 17,Paige McThenia,,NC District Court Judge District 26 - Seat 18,Cecilia Oseguera,,
VANCE-20221108-SAMPLE-E-B0004-CC_09-GEN.pdf,https://s3.amazonaws.com/dl.ncsbe.gov/data/SampleBallots/2022-11-08/VANCE-20221108-SAMPLE-E-B0004-CC_09-GEN.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
